Categoria,Marca,Modelo,Versão,Motor,Tipo de Propulsão (Combustão / Híbrido / Plug-in / Elétrico),Transmissão e Velocidades (Manual=M / Automática=A / Dupla Embreagem=DCT / Automatizada=MTA / Contínua=CVT),Ar Condicionado (S=Sim / N=Não),Direção Assistida (H=Hidráulica / M=Mecânica / E=Elétrica / E-H=Eletro-hidráulica),Combustível (E=Elétrico / G=Gasolina / F=Flex / D=Diesel),Emissões Poluentes - NMOG+NOx (mg/km),Emissões Poluentes - CO (mg/km),Emissões Poluentes - CHO Aldeídos (mg/km),Emissões Poluentes - Redução Relativa ao Limite (A=≥40% abaixo PROCONVE L7 / B=<40%),Emissões GEE - CO2 Fóssil Etanol (g/km),Emissões GEE - CO2 Fóssil Gasolina ou Diesel (g/km),Emissões GEE - CO2e Fóssil VEHP Plug-in (g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gasolina ou Diesel - Cidade (km/l),Consumo Gasolina ou Diesel - Estrada (km/l),Consumo Elétrico - Cidade (km/le),Consumo Elétrico - Estrada (km/le),Consumo Energético (MJ/km),Autonomia Modo Elétrico (km),Classificação PBE - Relativa na Categoria (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Classificação PBE - Absoluta Geral (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Selo CONPET de Eficiência Energética (SIM / NÃO),Transmissão - Tipo,Transmissão - Nº Velocidades,Combustível - Descrição,Consumo Gasolina ou Diesel - Combinado (km/l),Consumo Etanol - Combinado (km/l),Consumo Elétrico - Combinado (km/le),Faixa CO2 Gasolina/Diesel (g/km),Zero Emissão (Elétrico Puro),Eletrificado (Elétrico/Híbrido/Plug-in)
Médio,GWM,ORA 03,GT BEV63,Elétrico,Elétrico,A-1,S,E,E,,,,A,,,,,,,,42.4,36.5,0.51,319.0,A,A,NÃO,A,1.0,Elétrico,,,39.75,,True,True
Médio,GWM,ORA 03,GT BEV63 (MY 25),Elétrico,Elétrico,A-1,S,E,E,,,,A,,,,,,,,41.1,33.7,0.54,295.0,A,A,NÃO,A,1.0,Elétrico,,,37.77,,True,True
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,Elétrico,A-1,S,E,E,,,,A,,,,,,,,41.7,35.7,0.52,232.0,A,A,NÃO,A,1.0,Elétrico,,,39.0,,True,True
Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,S,E,F,20.0,93.0,1.0,A,0.0,94.0,,9.2,10.5,13.1,15.2,,,1.53,,A,C,NÃO,CVT,,Flex,14.04,9.78,,51-100,False,False
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,S,E,F,20.0,93.0,1.0,A,0.0,94.0,,9.2,10.5,13.1,15.2,,,1.53,,A,C,NÃO,CVT,,Flex,14.04,9.78,,51-100,False,False
Médio,HONDA,CITY,LX,1.5-16V,Combustão,CVT,S,E,F,20.0,93.0,1.0,A,0.0,94.0,,9.2,10.5,13.1,15.2,,,1.53,,A,C,NÃO,CVT,,Flex,14.04,9.78,,51-100,False,False
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,S,E,F,20.0,93.0,1.0,A,0.0,94.0,,9.2,10.5,13.1,15.2,,,1.53,,A,C,NÃO,CVT,,Flex,14.04,9.78,,51-100,False,False
Médio,HONDA,CITY HATCH,EX,1.5-16V,Combustão,CVT,S,E,F,23.0,84.0,2.0,A,0.0,95.0,,9.1,10.5,13.3,14.8,,,1.53,,A,C,NÃO,CVT,,Flex,13.98,9.73,,51-100,False,False
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,S,E,F,23.0,84.0,2.0,A,0.0,95.0,,9.1,10.5,13.3,14.8,,,1.53,,A,C,NÃO,CVT,,Flex,13.98,9.73,,51-100,False,False
Médio,HONDA,CITY HATCH,LX,1.5-16V,Combustão,CVT,S,E,F,23.0,84.0,2.0,A,0.0,95.0,,9.1,10.5,13.3,14.8,,,1.53,,A,C,NÃO,CVT,,Flex,13.98,9.73,,51-100,False,False
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,S,E,F,23.0,84.0,2.0,A,0.0,95.0,,9.1,10.5,13.3,14.8,,,1.53,,A,C,NÃO,CVT,,Flex,13.98,9.73,,51-100,False,False
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,CVT,S,E,F,37.0,184.0,3.0,B,0.0,113.0,,7.9,8.8,11.3,12.6,,,1.83,,D,C,NÃO,CVT,,Flex,11.89,8.31,,101-150,False,False
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,CVT,S,E,F,31.0,109.0,3.0,A,0.0,100.0,,8.8,9.8,12.7,13.9,,,1.62,,B,C,NÃO,CVT,,Flex,13.24,9.25,,51-100,False,False
